login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
KTH-RPL,KTH-RPL/DeFlow,2023-09-04T17:08:37Z,99,99,Python,false,false,"BSD 3-Clause ""New"" or ""Revised"" License"
bergmark,bergmark/rustfmt-check,2022-11-10T10:23:26Z,0,0,TypeScript,true,false,MIT License
csharpschool,csharpschool/eShop-Newton,2024-01-08T11:16:41Z,0,0,C#,true,true,
superdump,superdump/bevy,2020-09-28T15:01:58Z,0,0,,true,false,MIT License
OskarSigvardsson,OskarSigvardsson/hell-yeah,2024-06-06T18:01:49Z,2,2,C,true,true,
mollstam,mollstam/terraform-provider-proxmox,2024-04-03T09:24:35Z,0,0,Go,false,false,MIT License
matinzd,matinzd/react-native-health-connect,2023-01-07T02:59:05Z,223,223,Kotlin,true,true,MIT License
felixmulder,felixmulder/flytekit,2024-10-01T08:48:21Z,0,0,,true,false,Apache License 2.0
mptre,mptre/knfmt,2021-04-15T12:20:58Z,24,24,C,true,true,ISC License
xaviervia,xaviervia/micro-snapshots,2021-09-12T13:40:13Z,0,0,TypeScript,false,false,
iconara,iconara/dbt-athena,2024-07-04T08:18:27Z,0,0,,true,true,Apache License 2.0
cyberw,cyberw/secure-python-package-template,2023-08-29T19:49:58Z,0,0,,true,false,The Unlicense
erkie,erkie/cowl,2009-09-27T13:47:34Z,13,13,JavaScript,true,true,
daniguerrato,daniguerrato/css-print,2014-02-20T00:01:52Z,28,28,CSS,true,true,
lefant,lefant/vocode-python,2023-04-24T12:25:13Z,0,0,Python,true,true,MIT License
SamLarenN,SamLarenN/dotfiles,2023-12-12T22:03:40Z,0,0,Lua,true,true,
hfreire,hfreire/github-handyman,2019-05-11T15:32:52Z,3,3,JavaScript,false,false,MIT License
EmilPoulsen,EmilPoulsen/Emu.Resources,2018-12-24T01:12:21Z,18,18,,true,true,MIT License
ffdead,ffdead/next-platform-starter,2024-09-03T07:21:20Z,0,0,JavaScript,true,true,
perclasson,perclasson/flutter_code,2020-03-25T13:29:15Z,9,9,Dart,true,true,GNU General Public License v3.0
klacke,klacke/quic,2022-10-19T12:26:00Z,0,0,Erlang,true,true,Apache License 2.0
kolmodin,kolmodin/MicroHs,2024-10-02T04:50:15Z,0,0,,true,true,Other
TheMolkaPL,TheMolkaPL/odengymnasiet.se,2017-11-11T22:03:04Z,1,1,Java,false,false,Apache License 2.0
Hjdskes,Hjdskes/system,2022-12-23T22:41:19Z,2,2,Nix,false,false,MIT License
simonduq,simonduq/contiki-ng,2017-10-27T14:27:42Z,1,1,C,true,true,"BSD 3-Clause ""New"" or ""Revised"" License"
panoply,panoply/fauna-vscode,2023-12-08T19:25:55Z,0,0,TypeScript,true,true,Other
vlaaad,vlaaad/vlaaad.github.io,2019-03-29T16:53:16Z,2,2,JavaScript,true,true,
hkupty,hkupty/penna,2023-02-15T13:29:35Z,48,48,Java,true,true,MIT License
miyconst,miyconst/WelcomeToTroodon,2024-08-24T19:47:07Z,0,0,Shell,true,true,The Unlicense
marcelm,marcelm/dnaio,2018-06-25T13:17:58Z,61,61,Python,true,true,MIT License
willu47,willu47/OSeMBE_ECEMF,2022-03-17T14:25:04Z,0,0,,true,true,
codechips,codechips/vastai-fooocus,2024-03-13T19:11:59Z,1,1,Shell,true,true,
freider,freider/synchronicity,2024-10-27T14:33:39Z,0,0,,true,false,Apache License 2.0
tobiassjosten,tobiassjosten/csvmerge,2024-10-08T13:36:56Z,0,0,Go,true,true,
helioloureiro,helioloureiro/SecLists,2020-09-23T12:59:52Z,0,0,PHP,true,true,MIT License
keeto,keeto/expectacle,2013-11-28T16:17:52Z,6,6,JavaScript,true,true,
albinekb,albinekb/skumpa-bitcoin,2017-12-07T00:28:18Z,2,2,JavaScript,true,true,
linus,linus/testy,2022-12-08T20:21:01Z,9,9,JavaScript,true,true,ISC License
juleZZZ,juleZZZ/ExoPlayer,2015-07-02T12:27:37Z,0,0,Java,true,false,Apache License 2.0
jfacorro,jfacorro/Eden,2015-06-06T17:11:07Z,38,38,Elixir,true,true,Other
emiloberg,emiloberg/benchmark-cache-libraries,2024-03-27T11:59:06Z,0,0,JavaScript,true,true,
williamhogman,williamhogman/hacs_waste_collection_schedule,2024-05-23T19:28:47Z,0,0,,true,false,MIT License
nicktoumpelis,nicktoumpelis/Blot,2023-02-01T20:25:17Z,0,0,,true,false,Creative Commons Zero v1.0 Universal
zydeco,zydeco/zydeco.github.io,2016-05-15T11:34:18Z,1,1,CSS,true,true,Other
MansMeg,MansMeg/BSDA,2022-05-30T15:11:19Z,12,12,TeX,true,true,MIT License
Olivia5k,Olivia5k/trans-hub,2023-04-16T10:19:02Z,0,0,HTML,true,false,Apache License 2.0
nordcloud,nordcloud/mca-cli,2020-07-24T07:16:34Z,4,4,TypeScript,true,false,MIT License
ashwinvis,ashwinvis/scicomp-docs,2024-10-28T11:54:58Z,0,0,,true,true,Other
Mange,Mange/dotfiles,2008-07-31T19:35:48Z,34,34,Lua,true,true,
MrAlek,MrAlek/BomberTV,2015-11-04T14:29:58Z,2,2,Swift,true,true,
mansmahamat,mansmahamat/al-noor-swift,2024-04-26T22:33:55Z,0,0,Swift,true,true,
meadsteve,meadsteve/meadsteve.github.io,2013-08-30T14:38:43Z,3,3,HTML,true,true,The Unlicense
kbladin,kbladin/kbladin.github.io,2023-02-14T22:14:05Z,0,0,,true,true,
dorukgezici,dorukgezici/astro-decap-cms-oauth,2023-08-27T20:34:09Z,44,44,TypeScript,true,true,MIT License
